name,image,video,project,path
3rd-8th Floor,https://drive.google.com/uc?export=download&id=1jN1sIglJfrISVe_-8d7ukZz0vpRH8xvd,,cubao,Site Development Plan & Floor Plan\Building Floor Plan\Residential Floor Plan\3-8th Floor
9th-46th Floor Combine Unit,https://drive.google.com/uc?export=download&id=1etRQIklhnytG9qxsbP_MgXzm13iwdXL3,,cubao,Site Development Plan & Floor Plan\Building Floor Plan\Residential Floor Plan\9-46th Floor Combine Unit
9th-46th Floor,https://drive.google.com/uc?export=download&id=1Yvx7kBA4ZGmwkf1nqYPO9DsYzk_Vq6bj,,cubao,Site Development Plan & Floor Plan\Building Floor Plan\Residential Floor Plan\9-46th Floor
1 Bedroom 26.12,https://drive.google.com/uc?export=download&id=1gbSj3Nle9HW4jeRbLS7JmhOxLn7jIXGG,,cubao,Site Development Plan & Floor Plan\Unit Layout\1 Bedroom 26.12
1 Bedroom 27.89,https://drive.google.com/uc?export=download&id=1RrmqpdJ0y3BDJMZf3IE6Ys_R5cbp9YIp,,cubao,Site Development Plan & Floor Plan\Unit Layout\1 Bedroom 27.89
1 Bedroom 28.32,https://drive.google.com/uc?export=download&id=1vlgHZP1XocnkcHJBeaS3E7ocAzaNJxbq,,cubao,Site Development Plan & Floor Plan\Unit Layout\1 Bedroom 28.32
1 Bedroom Unit Layout,https://drive.google.com/uc?export=download&id=1-VqYtzzOknvMH4NL6T4lArxkaA1zV7Tx,,cubao,Site Development Plan & Floor Plan\Unit Layout\1 Bedroom Unit Layout
Studio Unit 12.12,https://drive.google.com/uc?export=download&id=1z9Zb4awc8kjRq4uRig8_XXMVXrZW4FUY,,cubao,Site Development Plan & Floor Plan\Unit Layout\Studio Unit 12.12
Studio Unit 12.25,https://drive.google.com/uc?export=download&id=1sUk1NRYvGAOBSJGhJ2PEwBtUaxrhNjPZ,,cubao,Site Development Plan & Floor Plan\Unit Layout\Studio Unit 12.25
Studio Unit 12.43,https://drive.google.com/uc?export=download&id=1lStk8ud7vCT9LU9dWqimhlf2Lt7U0ZiQ,,cubao,Site Development Plan & Floor Plan\Unit Layout\Studio Unit 12.43
